iter	Passed	Remaining
0	26	15944
1	51	15479
2	78	15635
3	104	15550
4	129	15440
5	155	15419
6	182	15446
7	206	15276
8	230	15166
9	253	14982
10	278	14909
11	302	14811
12	325	14711
13	349	14625
14	372	14545
15	400	14625
16	428	14689
17	455	14732
18	483	14792
19	510	14811
20	538	14836
21	565	14849
22	592	14853
23	617	14818
24	644	14818
25	671	14817
26	697	14812
27	720	14721
28	743	14645
29	766	14569
30	789	14493
31	812	14416
32	835	14350
33	859	14303
34	882	14251
35	906	14200
36	930	14154
37	958	14169
38	986	14185
39	1013	14189
40	1046	14274
41	1078	14332
42	1109	14368
43	1136	14355
44	1169	14418
45	1201	14466
46	1226	14436
47	1253	14412
48	1279	14383
49	1303	14341
50	1327	14288
51	1350	14236
52	1373	14172
53	1396	14116
54	1418	14059
55	1442	14008
56	1464	13952
57	1489	13917
58	1511	13859
59	1535	13821
60	1563	13814
61	1592	13816
62	1619	13805
63	1645	13782
64	1672	13765
65	1700	13758
66	1726	13733
67	1753	13715
68	1782	13715
69	1809	13699
70	1835	13677
71	1862	13657
72	1884	13607
73	1909	13569
74	1931	13520
75	1953	13470
76	1976	13421
77	1999	13381
78	2022	13340
79	2045	13296
80	2068	13255
81	2092	13218
82	2116	13184
83	2143	13166
84	2175	13180
85	2203	13168
86	2233	13168
87	2267	13195
88	2296	13185
89	2323	13169
90	2350	13145
91	2376	13121
92	2403	13104
93	2430	13084
94	2454	13046
95	2476	13002
96	2500	12968
97	2522	12923
98	2545	12879
99	2567	12837
100	2589	12794
101	2612	12755
102	2635	12715
103	2658	12680
104	2681	12641
105	2706	12612
106	2733	12593
107	2761	12580
108	2788	12559
109	2814	12535
110	2841	12518
111	2868	12498
112	2896	12481
113	2921	12456
114	2947	12430
115	2974	12409
116	3001	12390
117	3028	12369
118	3050	12330
119	3073	12293
120	3097	12263
121	3122	12234
122	3147	12207
123	3173	12182
124	3199	12157
125	3225	12133
126	3247	12095
127	3271	12062
128	3295	12033
129	3323	12013
130	3349	11991
131	3378	11976
132	3406	11960
133	3432	11936
134	3460	11919
135	3488	11902
136	3516	11884
137	3549	11883
138	3582	11880
139	3608	11856
140	3632	11824
141	3655	11788
142	3678	11754
143	3701	11720
144	3724	11688
145	3747	11652
146	3770	11618
147	3792	11581
148	3815	11548
149	3838	11516
150	3860	11479
151	3884	11449
